1771	Carne molida vacuno 10% grasa 320 g	Cuisine & Co	3490.0	0.0	0.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1 un	1	1	0.0	0.0	1.0
1772	Lomo Vetado kg	Al Vacío	0.0	16485.0	22485.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1.5 kg	1	1	6000.0	9.153	1.5
1773	Lomo Liso Cat. V	Al Vacío	23103.0	0.0	0.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1.7 kg	1	1	0.0	0.0	1.7
1774	Posta Paleta Cat. V	Al Vacío	13904.0	0.0	0.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1.6 kg	1	1	0.0	0.0	1.6
1775	Carne molida 7% grasa 320 g	Cuisine & Co	4090.0	0.0	0.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1 un	1	1	0.0	0.0	1.0
1776	Carne molida 4% materia grasa 320 g	Cuisine & Co	4390.0	0.0	0.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1 un	1	1	0.0	0.0	1.0
1777	Sobrecostilla Cat. V	Al Vacío	0.0	10485.0	13035.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1.5 kg	1	1	2550.0	3.89	1.5
1778	Posta rosada kg	Al Vacío	14085.0	0.0	0.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1.5 kg	1	1	0.0	0.0	1.5
1779	Punta Paleta Cat. V	Al Vacío	15283.0	0.0	0.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1.7 kg	1	1	0.0	0.0	1.7
1780	Posta negra kg	Al Vacío	15024.0	0.0	0.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1.6 kg	1	1	0.0	0.0	1.6
1781	Huachalomo Cat. V	Al Vacío	13035.0	0.0	0.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1.5 kg	1	1	0.0	0.0	1.5
1782	Bistec posta rosada cat V kg	Cuisine & Co	4707.0	0.0	0.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	300 g	1	1	0.0	0.0	0.3
1783	Ganso Cat. V	Al Vacío	0.0	11184.0	13264.0	0	carniceria	vacuno	2022-07-16 22:11:26.364649	1.6 kg	1	1	2080.0	3.173	1.6
